line,h,od
MCF7,18,0.015
MCF7,18,0.024
MCF7,18,0.039
MCF7,18,0.032
MCF7,18,0.014
MCF7,18,0.01
dTKS4,18,0.018
dTKS4,18,0.027
dTKS4,18,0.036
dTKS4,18,0.014
dTKS4,18,0.027
dTKS4,18,0.015
TKS4L+,18,0.011
TKS4L+,18,0.018
TKS4L+,18,0.017
TKS4L+,18,0.012
TKS4L+,18,0.016
TKS4L+,18,0.016
TKS4b+,18,0.021
TKS4b+,18,0.025
TKS4b+,18,0.026
TKS4b+,18,0.015
TKS4b+,18,0.027
TKS4b+,18,0.024
MCF7,66,0.037
MCF7,66,0.034
MCF7,66,0.032
MCF7,66,0.035
MCF7,66,0.031
MCF7,66,0.025
dTKS4,66,0.045
dTKS4,66,0.051
dTKS4,66,0.048
dTKS4,66,0.047
dTKS4,66,0.047
dTKS4,66,0.044
TKS4L+,66,0.024
TKS4L+,66,0.017
TKS4L+,66,0.037
TKS4L+,66,0.018
TKS4L+,66,0.026
TKS4L+,66,0.021
TKS4b+,66,0.025
TKS4b+,66,0.021
TKS4b+,66,0.028
TKS4b+,66,0.022
TKS4b+,66,0.027
TKS4b+,66,0.023
MCF7,117,0.068
MCF7,117,0.067
MCF7,117,0.064
MCF7,117,0.07
MCF7,117,0.073
MCF7,117,0.054
dTKS4,117,0.101
dTKS4,117,0.143
dTKS4,117,0.191
dTKS4,117,0.144
dTKS4,117,0.15
dTKS4,117,0.106
TKS4L+,117,0.059
TKS4L+,117,0.051
TKS4L+,117,0.078
TKS4L+,117,0.05
TKS4L+,117,0.052
TKS4L+,117,0.038
TKS4b+,117,0.068
TKS4b+,117,0.075
TKS4b+,117,0.088
TKS4b+,117,0.069
TKS4b+,117,0.072
TKS4b+,117,0.071
MCF7,162,0.249
MCF7,162,0.264
MCF7,162,0.229
MCF7,162,0.256
MCF7,162,0.214
MCF7,162,0.274
dTKS4,162,0.184
dTKS4,162,0.213
dTKS4,162,0.259
dTKS4,162,0.266
dTKS4,162,0.289
dTKS4,162,0.149
TKS4L+,162,0.12
TKS4L+,162,0.151
TKS4L+,162,0.142
TKS4L+,162,0.166
TKS4L+,162,0.127
TKS4L+,162,0.091
TKS4b+,162,0.24
TKS4b+,162,0.239
TKS4b+,162,0.203
TKS4b+,162,0.213
TKS4b+,162,0.215
TKS4b+,162,0.175
MCF7,210,1.141
MCF7,210,1.048
MCF7,210,1.077
MCF7,210,1.16
MCF7,210,0.986
MCF7,210,1.25
dTKS4,210,0.445
dTKS4,210,0.714
dTKS4,210,0.665
dTKS4,210,0.639
dTKS4,210,0.689
dTKS4,210,0.594
TKS4L+,210,0.469
TKS4L+,210,0.495
TKS4L+,210,0.57
TKS4L+,210,0.565
TKS4L+,210,0.788
TKS4L+,210,0.37
TKS4b+,210,0.728
TKS4b+,210,0.813
TKS4b+,210,0.77
TKS4b+,210,0.915
TKS4b+,210,0.94
TKS4b+,210,0.802
